id	gene	loc	timeline	group	ko
#methods	no	no	no	no	no
#type	no	no	no	no	no
#descriptions	gene name	leaf_or_stem	week	group	KO_or_OE
Z_AtADT4W_phos_L_2wk_KO	AtADT4W	L	2	L_OE	OE
Z_AtADT4W_phos_L_4wk_KO	AtADT4W	L	4	L_OE	OE
Z_AtADT4W_phos_L_6wk_KO	AtADT4W	L	6	L_OE	OE
Z_AtADT4W_phos_S_4wk_KO	AtADT4W	S	4	S_OE	OE
Z_AtADT4W_phos_S_6wk_KO	AtADT4W	S	6	S_OE	OE
Z_AtADT4W_phos_S_8wk_KO	AtADT4W	S	8	S_OE	OE
Z_AtADT4mW_phos_L_2wk_KO	AtADT4mW	L	2	L_OE	OE
Z_AtADT4mW_phos_L_4wk_KO	AtADT4mW	L	4	L_OE	OE
Z_AtADT4mW_phos_L_6wk_KO	AtADT4mW	L	6	L_OE	OE
Z_AtADT4mW_phos_S_4wk_KO	AtADT4mW	S	4	S_OE	OE
Z_AtADT4mW_phos_S_6wk_KO	AtADT4mW	S	6	S_OE	OE
Z_AtADT4mW_phos_S_8wk_KO	AtADT4mW	S	8	S_OE	OE
Z_AtADT5W_phos_L_2wk_KO	AtADT5W	L	2	L_OE	OE
Z_AtADT5W_phos_L_4wk_KO	AtADT5W	L	4	L_OE	OE
Z_AtADT5W_phos_L_6wk_KO	AtADT5W	L	6	L_OE	OE
Z_AtADT5W_phos_S_4wk_KO	AtADT5W	S	4	S_OE	OE
Z_AtADT5W_phos_S_6wk_KO	AtADT5W	S	6	S_OE	OE
Z_AtADT5W_phos_S_8wk_KO	AtADT5W	S	8	S_OE	OE
Z_AtADT5mW_phos_L_2wk_KO	AtADT5mW	L	2	L_OE	OE
Z_AtADT5mW_phos_L_4wk_KO	AtADT5mW	L	4	L_OE	OE
Z_AtADT5mW_phos_L_6wk_KO	AtADT5mW	L	6	L_OE	OE
Z_AtADT5mW_phos_S_4wk_KO	AtADT5mW	S	4	S_OE	OE
Z_AtADT5mW_phos_S_6wk_KO	AtADT5mW	S	6	S_OE	OE
Z_AtADT5mW_phos_S_8wk_KO	AtADT5mW	S	8	S_OE	OE
Z_adt145_phos_L_2wk_KO	adt145	L	2	L_KO	KO
Z_adt145_phos_L_4wk_KO	adt145	L	4	L_KO	KO
Z_adt145_phos_L_6wk_KO	adt145	L	6	L_KO	KO
Z_adt145_phos_S_4wk_KO	adt145	S	4	S_KO	KO
Z_adt145_phos_S_6wk_KO	adt145	S	6	S_KO	KO
Z_adt145_phos_S_8wk_KO	adt145	S	8	S_KO	KO
Z_adt1_phos_L_2wk_KO	adt1	L	2	L_KO	KO
Z_adt1_phos_L_4wk_KO	adt1	L	4	L_KO	KO
Z_adt1_phos_L_6wk_KO	adt1	L	6	L_KO	KO
Z_adt1_phos_S_4wk_KO	adt1	S	4	S_KO	KO
Z_adt1_phos_S_6wk_KO	adt1	S	6	S_KO	KO
Z_adt1_phos_S_8wk_KO	adt1	S	8	S_KO	KO
